artist id,artist name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time signature,duration,loudness,audio md5,valence,danceability,title,
AREBTNS1187FB3CE6D,Taio Cruz,SODWKHJ13D211A96BA,8,0.906522,0.211768,122.032,0.028913,0.003149,0,1,4,192.87692,-4.866,,0.566887,0.692661,Break Your Heart,
ARJGIOD1187B9AE920,Kelly Clarkson,SOWKZPR13E907C4225,0,0.53941,0.290402,159.954,0.029545,0.062335,2.00E-06,1,3,235.51156,-10.842,3ea7cb39ea047ae76757c26accd90fd3,0.359329,0.374876,Breakaway,
AR97V5X1187FB4AE98,Deep Blue Something,SOSQKCR144EE157F49,2,0.487148,0.051414,114.71,0.035261,0.011934,0.000364,1,4,320.39955,-16.11,d1f30918e74f62ccde4c58b9c9421223,0.637791,0.45775,Breakfast At Tiffany's,
ARE9Y761187B98AEB6,Mint Condition,SOFXHZX13737D520A8,10,0.244926,0.1561,137.056,0.04603,0.23109,0.00058,1,4,262.91955,-17.589,c3b7a42e8dfacfe5d608f315c044dcff,0.561382,0.70389,Breakin' My Heart (Pretty Brown Eyes),
Breaking Free,Zac Efron, unable to get info,,,,,,,,,,,,,,,,
ARTN3WC1187FB521BA,Swing Out Sister,SOAKPJS1311AFD7A1B,4,0.263032,0.142806,148.558,0.038501,0.869413,0.180559,1,4,187.22621,-13.122,6074abb07bbbc5dfce307a8eba89200c,0.305197,0.392574,Breakout,
AR3FE581187FB3F90A,Fabolous,SOFOHWX136A32A134D,0,0.500084,0.152425,84.458,0.360425,0.80076,0.047318,1,4,315.53261,-19.233,24e916b1eb89f9c7a8255e5cabe0d33c,0.508272,0.678059,BREATHE,
ARVNGA71187FB3C107,Faith Hill,SOHCXJN1459472C1AA,7,0.483732,0.274105,128.007,0.029627,0.001565,0.002282,1,4,241.84118,-19.311,64707b63493f1ebf05174d58c98b449f,0.716228,0.628317,Breathe-Dinka Bootleg,
ARAEX7Y1187FB42D36,Toni Braxton,SOBVJCD1374C7C90AF,0,0.682536,0.151075,77.053,0.041114,0.050928,3.00E-06,1,4,268.77288,-6.659,7d00d319d20fe095e00cc57509afd0c0,0.32403,0.687007,Breathe Again,
AR91C8S1187B990901,Bruce Springsteen,SOVJBNR12AF72A31E5,9,0.890178,0.030795,126.333,0.030096,0.147435,1.00E-06,1,4,255.57007,-7.105,aafa0ae3356dd34f15d908f192677752,0.932812,0.702434,Brilliant Disguise,
ARBS1OC1187FB44CAF,T.I.,SOZUESY135A143BE79,11,0.825325,0.09302,99.249,0.379645,0.091563,0,1,4,173.53098,-7.366,4df9608b7024262d823e9aa869dd9b29,0.560436,0.745781,Bring Em Out,
ARXRPXX1187FB52EC6,Blaque,SOLDWIA143F5636049,0,0.54143,0.276175,88.028,0.04476,0.342997,0,1,4,187.74404,-10.034,e8754ed51228b6c87334fabed1632128,0.803073,0.671351,Bring It All To Me,
ARVXU2X1187B9AE6D8,Evanescence,SOBTQRL135B8169653,4,0.942513,0.28587,189.996,0.109405,0.007883,4.00E-06,0,4,235.89288,-3.263,f0bfe51a7e8da61f93e8585b19fcb4cb,0.28468,0.31889,Bring Me To Life,
AR9QFK61187B9B0718,Mr. Mister,SOKVZXO131343A4A7A,1,0.712973,0.048871,98.453,0.035021,0.028386,3.50E-05,0,4,340.24,-7.824,,0.440529,0.351211,Broken Wings,
ARQUO3Z1187B98C912,Brandy,SOQJWUC144BDEBC366,1,0.331887,0.076489,139.799,0.029313,0.409556,4.50E-05,1,4,352.73288,-11.965,a6554b77c4a440213e1bb0675b09a735,0.302217,0.633505,Brokenhearted,
ARQ2I6K1187FB59949,Colbie Caillat,SOWRGPM142AB1B62E8,9,0.2611,0.97171,122.407,0.456109,0.822264,0,1,4,271.07955,-17.14,b0bdc4e937830f9d64e97c5948eae22e,0.584098,0.54794,Bubbly,
AR96LYR1187B9ABABD,Neneh Cherry,SOMXEKX14220C2A2D5,1,0.603428,0.34067,107.149,0.066159,0.012746,0,1,4,252.91955,-12.585,1d84f687af9e327df80d25a556c44a5d,0.734211,0.747102,Buffalo Stance,
ARD6VHG11C8A414FC6,La Roux,SOCLDXX14A59371E74,6,0.752656,0.065476,122.994,0.044255,0.006182,0.000634,1,4,215.36,-6.673,,0.592764,0.697293,Bulletproof,
ARLMXEA1187B9A7D04,R. Kelly,SOQSGOR13D9CF319D3,4,0.444734,0.23025,130.12,0.032857,0.12849,0,1,4,265.54621,-9.723,9c4f58ab375dfdcfbfb5be432029f569,0.705072,0.665704,Bump N' Grind,
AR2ZCJ51187B9A5EC8,B2K,SOVJZVH142EF7E60F1,1,0.572227,0.033951,95.594,0.073159,0.08676,0,0,4,233.31365,-6.155,4cad342471386a827cef05fbff7c8480,0.87035,0.891521,Bump& Bump& Bump,
ARPDVPJ1187B9ADBE9,Usher,SOGEEYT144BD2AA11A,1,0.504376,0.171443,119.898,0.122733,0.483695,0,1,4,248.25288,-7.148,ddea83f86f48e2aa42684456b9fb987f,0.603509,0.785859,Burn,
ARWQ4AM1187B9AD5F8,Jonas Brothers,SOUNLRO144BE54DF9F,2,0.947403,0.379381,114.028,0.079998,0.025041,0,1,4,174.95955,-3.411,9b6afc3aadba5279deb5099b096530ff,0.859277,0.664766,Burnin' Up,
